order_id,timestamp,customer_id,account_age_days,is_new_account,order_value,item_category,payment_method,discount_pct,shipping_billing_mismatch,ip_country_mismatch,device_id,shipping_address_hash,device_reuse_signal,num_previous_orders,num_previous_returns,num_previous_chargebacks,is_ring_order_GT,returned,chargeback
ORD-0003627,2025-01-01 00:12:00,cust_bacadc62d6,0,True,1676.97,electronics,debit_card,19.4,0,0,dev_f0eb6568ea,addr_782086acbe,0,0,0,0,0,1,0
ORD-0015036,2025-01-01 00:56:00,cust_ff1d4796fe,0,True,1133.56,home,credit_card,35.2,0,0,dev_a133710cb2,addr_39e4973ba3,0,6,5,2,0,1,0
ORD-0011380,2025-01-01 01:20:00,cust_1a5b1e4daa,0,True,628.69,home,upi,20.4,0,0,dev_966bc24f56,addr_0777acff7c,0,0,0,0,0,1,0
ORD-0019887,2025-01-01 01:43:00,cust_0b33f2e884,0,True,3775.35,grocery,netbanking,23.4,0,0,dev_958adb5768,addr_16475e51b4,0,1,0,0,0,0,0
ORD-0000110,2025-01-01 01:59:00,cust_e105b88b3e,0,True,681.98,home,debit_card,14.6,0,0,dev_ad62cfd33e,addr_479f499df3,0,0,0,0,0,0,0
ORD-0000670,2025-01-01 03:10:00,cust_b93f552915,0,True,2257.08,beauty,debit_card,26.4,0,0,dev_b38e5ff5f8,addr_df308fd906,0,1,0,0,0,0,0
ORD-0002590,2025-01-01 03:11:00,cust_494ba9ff03,0,True,362.47,home,credit_card,32.8,0,0,dev_9ee70b7987,addr_877a9ba7a9,0,0,0,0,0,0,1
ORD-0015934,2025-01-01 03:37:00,cust_4db0f8b0fc,0,True,1348.95,beauty,credit_card,15.7,0,0,dev_9978b7063e,addr_c4fac8fb3c,0,0,0,0,0,0,0
ORD-0011008,2025-01-01 03:47:00,cust_5dbc8390f1,0,True,2438.39,sports,upi,34.2,0,0,dev_4bbb5420ed,addr_f0873a91b4,0,0,0,0,0,0,1
ORD-0014382,2025-01-01 03:57:00,cust_cd163419a5,0,True,2307.2,sports,upi,34.6,0,0,dev_1a77befc3b,addr_bc786a7e54,0,0,0,0,0,0,0
ORD-0001123,2025-01-01 03:59:00,cust_405075699f,0,True,1457.15,sports,upi,38.5,0,0,dev_0aae0fede9,addr_063e26c670,0,0,0,0,0,0,1
ORD-0011903,2025-01-01 04:48:00,cust_d6baf65e0b,0,True,2241.27,fashion,credit_card,56.0,0,0,dev_bcc0d40028,addr_e5a90182cc,0,3,0,1,0,1,0
ORD-0004268,2025-01-01 05:06:00,cust_4888241374,0,True,642.52,sports,netbanking,35.6,0,0,dev_15e122e839,addr_fc5b3186f1,0,0,0,0,0,1,0
ORD-0009563,2025-01-01 06:32:00,cust_3eb6500405,0,True,928.61,electronics,credit_card,16.0,0,0,dev_beb22fb694,addr_c99e757a46,0,1,0,0,0,1,0
ORD-0012124,2025-01-01 06:39:00,cust_e23b16e833,0,True,1275.49,electronics,netbanking,21.4,0,0,dev_1068c6e4c8,addr_b8ce47761e,0,0,0,0,0,1,0
ORD-0002362,2025-01-01 09:29:00,cust_6b8b8e3bd6,0,True,3627.37,grocery,credit_card,1.5,0,0,dev_99296ad1eb,addr_f718499c1c,0,0,0,0,0,0,0
